Label,Class
deeploc_train_0,Cell.membrane
deeploc_train_1,Cell.membrane
deeploc_train_2,Cell.membrane
deeploc_train_3,Cell.membrane
deeploc_train_4,Cell.membrane
deeploc_train_5,Cell.membrane
deeploc_train_6,Cell.membrane
deeploc_train_7,Cell.membrane
deeploc_train_8,Cell.membrane
deeploc_train_9,Cell.membrane
deeploc_train_10,Cell.membrane
deeploc_train_11,Cell.membrane
deeploc_train_12,Cell.membrane
deeploc_train_13,Cell.membrane
deeploc_train_14,Cell.membrane
deeploc_train_15,Cell.membrane
deeploc_train_16,Cell.membrane
deeploc_train_17,Cell.membrane
deeploc_train_18,Cell.membrane
deeploc_train_19,Cell.membrane
deeploc_train_20,Cell.membrane
deeploc_train_21,Cell.membrane
deeploc_train_22,Cell.membrane
deeploc_train_23,Cell.membrane
deeploc_train_24,Cell.membrane
deeploc_train_25,Cell.membrane
deeploc_train_26,Cell.membrane
deeploc_train_27,Cell.membrane
deeploc_train_28,Cell.membrane
deeploc_train_29,Cell.membrane
deeploc_train_30,Cell.membrane
deeploc_train_31,Cell.membrane
deeploc_train_32,Cell.membrane
deeploc_train_33,Cell.membrane
deeploc_train_34,Cell.membrane
deeploc_train_35,Cell.membrane
deeploc_train_36,Cell.membrane
deeploc_train_37,Cell.membrane
deeploc_train_38,Cell.membrane
deeploc_train_39,Cell.membrane
deeploc_train_40,Cell.membrane
deeploc_train_41,Cell.membrane
deeploc_train_42,Cell.membrane
deeploc_train_43,Cell.membrane
deeploc_train_44,Cell.membrane
deeploc_train_45,Cell.membrane
deeploc_train_46,Cell.membrane
deeploc_train_47,Cell.membrane
deeploc_train_48,Cell.membrane
deeploc_train_49,Cell.membrane
deeploc_train_50,Cell.membrane
deeploc_train_51,Cell.membrane
deeploc_train_52,Cell.membrane
deeploc_train_53,Cell.membrane
deeploc_train_54,Cell.membrane
deeploc_train_55,Cell.membrane
deeploc_train_56,Cell.membrane
deeploc_train_57,Cell.membrane
deeploc_train_58,Cell.membrane
deeploc_train_59,Cell.membrane
deeploc_train_60,Cell.membrane
deeploc_train_61,Cell.membrane
deeploc_train_62,Cell.membrane
deeploc_train_63,Cell.membrane
deeploc_train_64,Cell.membrane
deeploc_train_65,Cell.membrane
